record_id,month,project,expense_head,approved_budget_bdt,actual_expense_bdt,variance_bdt,utilization_pct
EXP-0109,2026-01,Climate Action,Salary,19800,15444.0,4356.0,78.0
EXP-0110,2026-02,Climate Action,Learning Materials,20900,18392.0,2508.0,88.0
EXP-0111,2026-03,Climate Action,Medicine Support,22000,20900.0,1100.0,95.0
EXP-0112,2026-04,Climate Action,Transport,23100,23100.0,0.0,100.0
EXP-0113,2026-05,Climate Action,Training,24200,26136.0,-1936.0,108.0
EXP-0114,2026-06,Climate Action,Office Utilities,25300,0.0,25300.0,0.0
EXP-0115,2026-07,Central Office,Salary,26400,20592.0,5808.0,78.0
EXP-0116,2026-08,Central Office,Learning Materials,27500,24200.0,3300.0,88.0
EXP-0117,2026-09,Central Office,Medicine Support,28600,27170.0,1430.0,95.0
EXP-0118,2026-10,Central Office,Transport,29700,29700.0,0.0,100.0
EXP-0119,2026-11,Central Office,Training,30800,33264.0,-2464.0,108.0
EXP-0120,2026-12,Central Office,Office Utilities,5900,0.0,5900.0,0.0
EXP-0121,2026-01,Education,Salary,7000,5460.0,1540.0,78.0
EXP-0122,2026-02,Education,Learning Materials,8100,7128.0,972.0,88.0
EXP-0123,2026-03,Education,Medicine Support,9200,8740.0,460.0,95.0
EXP-0124,2026-04,Education,Transport,10300,10300.0,0.0,100.0
EXP-0125,2026-05,Education,Training,11400,12312.0,-912.0,108.0
EXP-0126,2026-06,Education,Office Utilities,12500,0.0,12500.0,0.0
EXP-0127,2026-07,Primary Health,Salary,13600,10608.0,2992.0,78.0
EXP-0128,2026-08,Primary Health,Learning Materials,14700,12936.0,1764.0,88.0
EXP-0129,2026-09,Primary Health,Medicine Support,15800,15010.0,790.0,95.0
EXP-0130,2026-10,Primary Health,Transport,16900,16900.0,0.0,100.0
EXP-0131,2026-11,Primary Health,Training,18000,19440.0,-1440.0,108.0
EXP-0132,2026-12,Primary Health,Office Utilities,19100,0.0,19100.0,0.0
EXP-0133,2026-01,Climate Action,Salary,20200,15756.0,4444.0,78.0
EXP-0134,2026-02,Climate Action,Learning Materials,21300,18744.0,2556.0,88.0
EXP-0135,2026-03,Climate Action,Medicine Support,22400,21280.0,1120.0,95.0
EXP-0136,2026-04,Climate Action,Transport,23500,23500.0,0.0,100.0
EXP-0137,2026-05,Climate Action,Training,24600,26568.0,-1968.0,108.0
EXP-0138,2026-06,Climate Action,Office Utilities,25700,0.0,25700.0,0.0
EXP-0139,2026-07,Central Office,Salary,26800,20904.0,5896.0,78.0
EXP-0140,2026-08,Central Office,Learning Materials,27900,24552.0,3348.0,88.0
EXP-0141,2026-09,Central Office,Medicine Support,29000,27550.0,1450.0,95.0
EXP-0142,2026-10,Central Office,Transport,30100,30100.0,0.0,100.0
EXP-0143,2026-11,Central Office,Training,5200,5616.0,-416.0,108.0
EXP-0144,2026-12,Central Office,Office Utilities,6300,0.0,6300.0,0.0
